playerId,name,height,weight,dob,position,origin
2013677583, Jonathon Ceglar,204,102,14-Feb-91,Forward  Ruck,Murray Bushrangers
2017674525, James Cousins,185,84,19-Mar-98,Midfield  Forward,Murray Bushrangers
2020683796, Will Day,187,70,5-Jun-01,Defender ,West Adelaide
2021684041, Connor Downie,185,82,31-May-02,Midfield ,Eastern Ranges
2012702150, Sam Frost,194,93,28-Aug-93,Defender ,Sandringham Dragons
2021716124, Denver Grainger-Barras,195,78,17-Apr-02,Defender ,Swan Districts
2020715132, Damon Greaves,186,77,25-Apr-00,Defender ,East Perth
2010713968, Jack Gunston,193,87,16-Oct-91,Forward ,Sandringham Dragons
2019721542, Oliver Hanrahan,181,75,27-Aug-98,Forward ,St. Kevin's College
2016727274, Blake Hardwick,181,79,5-Feb-97,Defender ,Eastern Ranges
2013724713, Kyle Hartigan,194,98,7-Nov-91,Defender ,Werribee Tigers
2016725811, Michael Hartley,198,104,7-Jun-93,Defender ,Sydney University
2015729666, Daniel Howe,191,87,4-Dec-95,Defender  Midfield,Murray Bushrangers
2014738925, Jarman Impey,178,82,9-Jul-95,Defender  Forward,Murray Bushrangers
2021743898, Emerson Jeka,197,87,18-Sep-01,Forward ,Western Jets
2019749505, Changkuoth Jiath,185,74,13-Jun-99,Defender ,Ethiopia
2021759277, Jacob Koschitzke,196,94,11-Jul-00,Defender  Forward,Albury
2018768364, Mitch Lewis,198,92,14-Oct-98,Forward ,Calder Cannons
2020773698, Finn Maginness,187,80,23-Feb-01,Midfield ,Sandringham Dragons
2008773550, Ben McEvoy,200,102,11-Jul-89,Defender  Ruck,Murray Bushrangers
2013777613, Tom Mitchell,182,84,31-May-93,Midfield ,Claremont
2019777733, Dylan Moore,176,70,4-Aug-99,Forward ,Eastern Ranges
2020772347, Josh Morris,186,76,7-Nov-01,Forward ,Woodville-West Torrens
2017775642, Harry Morrison,180,79,12-Nov-98,Defender  Midfield,Murray Bushrangers
2018783190, Conor Nash,197,93,28-Jul-98,Forward ,Dublin
2021789985, Jai Newcombe,186,85,2-Aug-01,Midfield ,Box Hill
2014793667, Tim OBrien,193,90,28-Mar-94,Forward ,Glenelg
